id,name,website,country,audience_geography,categories,industries,languages,opportunity_types,cost_model,priority,current_status,submission_url,pitch_url,press_release_url,advertising_url,media_kit_url,requires_editorial_approval,sponsored_content_available,backlink_type,link_target_type,listing_page_indexability,link_evidence_url,link_evidence_checked_at,media_score,media_score_band,publishing_model,best_for,note,limitations,last_verified
md-dev-to,DEV Community,https://dev.to,united-states,global,contributor-platform; developer-open-source-media,devops; open-source; software,en,self-publish,free,P1,active,,,,,,,,,,,,,52,Moderate,open-submission,,A developer publishing community where any registered user can publish an article immediately.,"No editorial gate, so reach depends on tags and the community. Overtly promotional posts are downranked.",2026-08-07
md-dezeen,Dezeen,https://www.dezeen.com,united-kingdom,global,construction-media,construction,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"The most-read architecture and design magazine, publishing projects, products and studio news.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Checked during Wave 2; no submission or pitch page was found at the paths tried.",2026-08-08
md-digiday,Digiday,https://digiday.com,united-states,national,ecommerce-retail-media; marketing-media,advertising; marketing,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"Media, marketing and commerce industry publication, widely read by agencies and platforms.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 3.",2026-08-08
md-enr,Engineering News-Record,https://www.enr.com,united-states,national,construction-media,construction; engineering,en,editorial-submission,unknown,P1,active,https://www.enr.com/events/new,,,,,,,,,,,,86,Strong,staff-editorial,manufacturer,"The reference US construction and engineering publication, publisher of the ENR contractor rankings.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Checked during Wave 2; no submission or pitch page was found at the paths tried.",2026-08-14
md-entrepreneur-leadership-network,Entrepreneur Leadership Network,https://www.entrepreneur.com,united-states,global,contributor-platform; global-business-media,general,en,contributed-article,paid,P1,active,https://www.entrepreneur.com/leadership-network,,,,,yes,,,,,,,84,Strong,contributor-network,professional-services; local-business; startup,"Entrepreneur’s paid contributor membership, giving vetted members a publishing route on entrepreneur.com.",Paid membership with an application. Contributor posts are labelled and rank below staff reporting.,2026-08-07
md-forbes-councils,Forbes Councils,https://councils.forbes.com,united-states,global,contributor-platform; global-business-media,general,en,contributed-article,paid,P1,active,,,,,,yes,,,,,,,77,Good,contributor-network,professional-services; local-business,"A paid, vetted membership that carries the right to publish articles on Forbes.com under your own byline.","Membership is an annual fee and applicants are screened. Articles are marked as council posts, which is not the same as Forbes staff coverage.",2026-08-07
md-freightwaves,FreightWaves,https://www.freightwaves.com,united-states,national,logistics-media,logistics,en,editorial-pitch; press-release,free,P1,active,,,https://www.freightwaves.com/contact-us,,,,,,,,,,87,Strong,staff-editorial,telecom-voip-ucaas,"Freight market news, data and analysis for shippers, brokers and carriers.",Freight and supply chain only. The release route and the editorial tip route are different asks and reach different people.,2026-08-08
md-geekwire,GeekWire,https://www.geekwire.com,united-states,national,startup-media; technology-media,ai; saas,en,unknown,unknown,P1,unknown,,,,,,,,,,,,,,,unknown,,"Seattle-based technology and startup publication with national reach, strong on Amazon and Microsoft. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.","Reached but behind a bot filter, so the route could not be read from the site. A human needs to open it in a browser and confirm whether a submission or pitch route exists. A startup-list submission path is advertised but could not be read.",2026-08-14
md-globenewswire,GlobeNewswire,https://www.globenewswire.com,united-states,global,press-release-distribution,finance; general,en,press-release,paid,P1,active,,,https://portal.notified.com/en/registration,,,,,,,,,,55,Moderate,wire-carrier,,"A global newswire with strong coverage of listed-company and financial disclosure, and a public newsroom carrying every release.",Paid only. The public newsroom republishes releases verbatim; it is not editorial coverage.,2026-08-14
md-hacker-news,Hacker News,https://news.ycombinator.com,united-states,global,developer-open-source-media; startup-launch-platform,ai; open-source; saas; software,en,product-launch; self-publish,free,P1,active,https://news.ycombinator.com/submit,,,,,,,,,,,,67,Good,open-submission,,Y Combinator’s community board. Show HN is an established route for announcing something you built; anyone can submit.,No editor and no guarantee of attention. Promotional framing is penalised by the community rather than by a moderator.,2026-08-07
md-hbr,Harvard Business Review,https://hbr.org,united-states,global,global-business-media,general,en,editorial-submission,free,P1,active,https://hbr.org/guidelines-for-authors,,,,,yes,,,,,,,89,Exceptional,staff-editorial,professional-services; local-business; finance-fintech,"Management research and practice, with published author guidelines and a formal manuscript submission process.","An idea with evidence behind it, not company news. Acceptance rates are very low and review is slow.",2026-08-07
md-itmedia,ITmedia,https://www.itmedia.co.jp,japan,national,technology-media,ai; software,ja,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"Japan’s largest IT and technology media group, publishing ITmedia NEWS, MONOist for manufacturing and several vertical titles.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 3.",2026-08-08
md-inc-5000,Inc. 5000,https://www.inc.com/inc5000,united-states,national,business-awards,general,en,award-entry,paid,P1,active,https://www.inc.com/inc5000/apply,,,,,yes,,,,,,,68,Good,marketplace,,Inc.’s ranking of the fastest-growing private US companies. Ranked companies get a public profile page and an editorial franchise that is widely cited.,"US private companies with verifiable multi-year revenue growth; there is an application fee and a revenue floor. Qualification is arithmetic, not editorial judgement.",2026-08-08
md-inc42,Inc42,https://inc42.com,india,national,startup-media,fintech; saas,en,contributed-article,free,P1,active,https://inc42.com/contact/,,,,,yes,,,,,,,86,Strong,contributor-network,startup; b2b-saas; finance-fintech,Indian startup ecosystem publication with funding data and sector reports.,Indian startup ecosystem only. The contributor route is editorial and an editor decides.,2026-08-08
md-infoq,InfoQ,https://www.infoq.com,united-states,global,developer-open-source-media; technology-media,cloud; devops; software,en,contributed-article,free,P1,active,https://www.infoq.com/write-for-infoq/,,,,,yes,,,,,,,88,Exceptional,contributor-network,b2b-saas; startup; ai-startup,"A senior software-engineering publication with a standing ""Write for InfoQ"" route for practitioner articles.",Practitioner depth is required and vendor pitches are refused. Editors commission against an editorial calendar.,2026-08-07
md-light-reading,Light Reading,https://www.lightreading.com,united-states,global,telecom-media,telecom,en,contributed-article; press-release,free,P1,active,https://www.lightreading.com/,,,,,,,,,,,,88,Exceptional,contributor-network,telecom-voip-ucaas,"Carrier and network infrastructure publication read by operators and vendors, covering 5G, fibre and telecom cloud.",Carrier-side infrastructure rather than business phone products.,2026-08-08
md-menabytes,MENAbytes,https://menabytes.com,united-arab-emirates,regional,startup-media,fintech; saas,en,editorial-submission,free,P1,active,https://menabytes.com/contact/,,,,,yes,,,,,,,88,Exceptional,staff-editorial,startup; b2b-saas; finance-fintech,"Startup and technology news for the Middle East and North Africa, with a contact page carrying a submission route.",MENA companies only. One regional submission covers the Gulf rather than one per country.,2026-08-08
md-maddyness,Maddyness,https://www.maddyness.com,france,national,startup-media,fintech; saas,fr,editorial-pitch,free,P1,active,,https://www.maddyness.com/contactez-nous/,,,,yes,,,,,,,86,Strong,staff-editorial,startup; b2b-saas; finance-fintech,"The main French startup and innovation title, with a contact page for proposing subjects to the newsroom.",French-language pitches about the French ecosystem.,2026-08-07
md-martech-org,MarTech,https://martech.org,united-states,global,marketing-media,marketing; saas,en,contributed-article; sponsored-content,mixed,P1,active,https://martech.org/working-with-martech-content-team/,,,,,yes,yes,,,,,,86,Strong,contributor-network,marketing-agency; b2b-saas; startup,"Marketing technology coverage with a published page on working with its content team, covering both contributed and paid routes.",Vendor-neutral contributions only; product promotion goes through the paid route.,2026-08-07
md-marketing-brew,Marketing Brew,https://www.marketingbrew.com,united-states,national,marketing-media; newsletter-platform,marketing,en,sponsored-content,paid,P1,active,,,,https://www.marketingbrew.com/,,,yes,,,,,,45,Limited,unknown,,"Morning Brew’s marketing-industry newsletter, with an advertising route reaching brand and agency marketers.","Paid placement. The Morning Brew titles share one advertising operation, so one buy can cover several newsletters.",2026-08-08
md-medium,Medium,https://medium.com,united-states,global,contributor-platform,general,en,self-publish,freemium,P1,active,,,,,,,,,,,,,50,Limited,open-submission,,"General-purpose publishing where anyone can post immediately. Publications on Medium add an editor, which is a separate and gatekept route.",Posting to your own profile has no editor and no distribution guarantee; acceptance into a Medium publication does. Do not confuse the two.,2026-08-07
md-morning-brew,Morning Brew,https://www.morningbrew.com,united-states,global,global-business-media; newsletter-platform,general,en,unknown,unknown,P1,unknown,,,,,,,,,,,,,,,unknown,,"The largest US daily business newsletter, selling advertising to reach a young professional audience. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.","Reached but behind a bot filter, so the route could not be read from the site. Needs a human with a browser to confirm whether a submission or pitch route exists.",2026-08-14
md-mynewsdesk,Mynewsdesk,https://www.mynewsdesk.com,sweden,regional,press-release-distribution,general,en; sv,company-profile; press-release,paid,P1,active,,,https://www.mynewsdesk.com/en/pr-distribution/press-release/,,,,,,,,,,59,Moderate,wire-carrier,,"Nordic-origin PR platform: a hosted brand newsroom plus press-release distribution to a journalist and media database, sold as a subscription.","A paid distribution and newsroom-hosting product, not editorial coverage: publication on the platform is self-serve once subscribed, and whether a journalist writes anything is a separate question. Pricing was not read.",2026-08-14
md-pr-newswire,PR Newswire,https://www.prnewswire.com,united-states,global,press-release-distribution,general,en,press-release,paid,P1,active,,,,,,,,,,,,,49,Limited,wire-carrier,,"The largest commercial newswire, owned by Cision. Distributes paid releases to newsrooms, terminals and syndication partners worldwide.","Paid only, priced per release with geographic and industry add-ons. Distribution is not editorial coverage: placement on partner sites is syndication, not a journalist choosing your story.",2026-08-07
md-pr-times,PR TIMES,https://prtimes.jp,japan,national,press-release-distribution,general,ja,press-release,paid,P1,active,,,,,,,,,,,,,46,Limited,wire-carrier,,"Japan’s dominant press release distribution service, describing itself as the No.1 release distribution platform. Releases are syndicated to Japanese news sites and carry a permanent public page.",Japanese-language releases and a paid corporate account. Distribution is not editorial coverage.,2026-08-08
md-phocuswire,PhocusWire,https://www.phocuswire.com,united-states,global,travel-hospitality-media,hospitality; travel,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"Travel technology industry news and startup coverage, part of Phocuswright. [accessibility:2026-08-14] verified in a browser: masthead vocabulary; the masthead names itself as a publication.","The homepage and the contact and about pages it links to publish no submission, pitch or press-release route in words, so none is recorded; one may exist deeper in the site and a person would have to find it.",2026-08-14
md-podmatch,PodMatch,https://www.podmatch.com,united-states,global,podcast-platform,general,en,podcast-guest,freemium,P1,active,,,,,,yes,,,,,,,65,Moderate,marketplace,,A matching service between podcast hosts and guests: an expert builds a profile and is matched to shows looking for that expertise.,"A match is an introduction, not a booking — the host still decides. Paid tiers get more matches.",2026-08-08
md-presseportal,Presseportal,https://www.presseportal.de,germany,national,press-release-distribution,general,de,press-release,paid,P1,active,,,,,,,,dofollow,direct,indexable,https://www.presseportal.de/nr/183022,2026-08-21,46,Limited,wire-carrier,,"The dominant German-language release portal, carrying corporate, police and public-sector newsrooms, operated by news aktuell.",Publishing requires a paid news aktuell newsroom contract; there is no free submission.,2026-08-07
md-product-hunt,Product Hunt,https://www.producthunt.com,united-states,global,startup-launch-platform,ai; saas; software,en,product-launch; startup-launch,free,P1,active,https://www.producthunt.com/launch,,,,,,,,,,,,80,Strong,unknown,,"The largest product launch community. A launch is a dated public post that the community votes on, with its own archive page.",Ranking is community-driven and one launch per product is the norm; a weak launch day is difficult to repeat.,2026-08-07
md-protext,Protext,https://www.protext.cz,czech-republic,national,press-release-distribution,general,cs,press-release,paid,P1,active,,,,,,,,,,,,,47,Limited,wire-carrier,,"The commercial PR service of ČTK, the Czech News Agency: paid press releases are published under named corporate publishers and distributed to Czech newsrooms.","A commercial wire operated by the national news agency, so publication is paid placement and not editorial coverage. Pricing and the ordering form were not read; the contact page is the documented route.",2026-08-14
md-qwoted,Qwoted,https://www.qwoted.com,united-states,global,journalist-source-platform,general,en,expert-source; journalist-source,freemium,P1,active,,,,,,,,,,,,,64,Moderate,marketplace,,Journalists post source requests and registered experts respond. The most widely used successor to HARO after Connectively closed.,"A response is a pitch to a reporter, not a placement. Free source accounts are rate-limited; agencies pay.",2026-08-07
md-renewable-energy-world,Renewable Energy World,https://www.renewableenergyworld.com,united-states,global,energy-cleantech-media,energy,en,contributed-article; editorial-submission,free,P1,active,https://www.renewableenergyworld.com/contact-us/,,,,,yes,,,,,,,89,Exceptional,contributor-network,energy-cleantech,Long-running renewable energy trade publication with an editorial contact page naming a submission and contributor route.,Renewables only. Technical or market substance expected rather than company news.,2026-08-08
md-scoop-nz,Scoop,https://www.scoop.co.nz,new-zealand,national,press-release-distribution,general,en,press-release,freemium,P1,active,,,https://www.scoop.co.nz/about/submit.html,,,yes,,,,,,,56,Moderate,wire-carrier,,"New Zealand news site that publishes submitted press releases in full; individuals and organisations may submit at no cost, and Scoop Pro members get priority handling.","Submission is by email to the editor only, and the dataset does not store email addresses — read the submit page for the address. Not every release is published, and a Scoop Pro licence is required to use Scoop for work or to include multimedia.",2026-08-14
md-search-engine-land,Search Engine Land,https://searchengineland.com,united-states,global,marketing-media,marketing,en,contributed-article; sponsored-content,mixed,P1,active,https://searchengineland.com/contact,,,,,yes,yes,,,,,,86,Strong,contributor-network,marketing-agency; b2b-saas; ecommerce,"The reference search marketing publication, running a contributor programme alongside paid sponsorship.","Contributors are expected to be named practitioners, not agencies pitching clients. Sponsorship is a separate paid product.",2026-08-07
md-shega,Shega,https://shega.co,ethiopia,national,startup-media; technology-media,fintech; general,en,contributed-article; sponsored-content,mixed,P1,active,https://shega.co/guest-contribution,,,https://shega.co/ad-request,,yes,yes,,,,,,83,Strong,contributor-network,startup; local-business; finance-fintech,"Ethiopian media, data and intelligence company covering startups, fintech and the digital economy, with published guest-contribution guidelines.","The guest-contribution route is editorial and free, requires original unpublished work of roughly 600–1,200 words on Ethiopian startups, tech or the economy, and explicitly refuses pieces whose main focus is commercial promotion. Paid placement is a separate ad-request route.",2026-08-14
md-sifted,Sifted,https://sifted.eu,united-kingdom,regional,startup-media,ai; fintech; saas,en,editorial-pitch,free,P1,active,,https://sifted.eu/pitch-your-story,,,,yes,,,,,,,87,Strong,staff-editorial,startup; b2b-saas; ai-startup,"European startup and venture coverage, originally backed by the Financial Times, with a contact route for story tips.",European companies and investors only. Much of the deeper reporting sits behind Sifted Pro.,2026-08-14
md-skift,Skift,https://skift.com,united-states,global,travel-hospitality-media,hospitality; travel,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"The reference travel industry business publication, covering hotels, airlines, OTAs and travel technology.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 3.",2026-08-08
md-smashing-magazine,Smashing Magazine,https://www.smashingmagazine.com,germany,global,developer-open-source-media,software,en,contributed-article,free,P1,active,https://www.smashingmagazine.com/write-for-us/,,,,,yes,,,,,,,88,Exceptional,contributor-network,b2b-saas; startup; ai-startup,"A long-standing front-end and design publication with an explicit ""Write for us"" route and paid rates for accepted articles.",Standards are high and the queue is long. Product promotion is refused.,2026-08-07
md-stevie-awards,Stevie Awards,https://www.stevieawards.com,united-states,global,business-awards,general,en,award-entry,paid,P1,active,https://www.stevieawards.com/,,,,,yes,,,,,,,70,Good,marketplace,,"A family of international business award programmes — American, International, Asia-Pacific, Women in Business, Great Employers — each with an open entry process and public winner listings.",Entry fees are per submission and per category. Winning produces a public winner page; entering does not.,2026-08-08
md-tldr-tech,TLDR,https://tldr.tech,united-states,global,newsletter-platform; technology-media,ai; software,en,sponsored-content,paid,P1,active,,,,https://advertise.tldr.tech/,,,yes,,,,,,49,Limited,unknown,,Daily developer and technology newsletter with a large engineer readership and a sponsorship route.,Paid placement only. No editorial submission route was established; the newsletter is written in-house.,2026-08-08
md-tech-in-asia,Tech in Asia,https://www.techinasia.com,singapore,regional,startup-media,fintech; saas,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"Pan-Asian startup, funding and technology publication with a company database.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 2; no public submission or pitch page was found.",2026-08-08
md-techcabal,TechCabal,https://techcabal.com,nigeria,regional,startup-media,fintech; saas,en,editorial-pitch; press-release,free,P1,active,,https://techcabal.com/contact/,,,,,,,,,,,87,Strong,staff-editorial,startup; b2b-saas; finance-fintech,"The leading African technology publication, covering startups, fintech and policy, with a contact page naming both a tips route and a press-release route.",African companies. The tip route and the release route are different asks and go to different desks.,2026-08-08
md-techcrunch,TechCrunch,https://techcrunch.com,united-states,global,startup-media; technology-media,ai; crypto; saas; software,en,editorial-pitch,free,P1,active,,https://techcrunch.com/got-a-tip/,,,,yes,,,,,,,88,Exceptional,staff-editorial,startup; b2b-saas; ai-startup,The reference startup and venture publication. Its tips page is the documented route for sending news to reporters.,A tip is not coverage. Funding rounds and launches are the usual hooks; unsolicited product pitches rarely land.,2026-08-07
md-the-hacker-news,The Hacker News,https://thehackernews.com,india,global,cybersecurity-media,cybersecurity,en,editorial-submission,free,P1,active,https://thehackernews.com/p/submit-news.html,,,,,yes,,,,,,,89,Exceptional,staff-editorial,cybersecurity,"One of the most-read security news sites, with a standing page for submitting news and tips.",Security news only. Vendor announcements without a threat or research angle are refused.,2026-08-07
md-the-new-stack,The New Stack,https://thenewstack.io,united-states,global,developer-open-source-media; technology-media,cloud; devops; open-source,en,contributed-article; sponsored-content,mixed,P1,active,https://thenewstack.io/contributions/,,,,,yes,yes,,,,,,86,Strong,contributor-network,b2b-saas; ai-startup; telecom-voip-ucaas,"Cloud-native and platform-engineering coverage with a published contributions route for technical articles, alongside a sponsorship programme.",The contributed route is editorial and free; sponsorship is a separate paid product. Contributions must be vendor-neutral.,2026-08-07
md-pragmatic-engineer,The Pragmatic Engineer,https://newsletter.pragmaticengineer.com,netherlands,global,developer-open-source-media; newsletter-platform,software,en,sponsored-content,paid,P1,active,,,,https://newsletter.pragmaticengineer.com/,,,yes,,,,,,49,Limited,unknown,,"The largest paid technology newsletter for software engineers and engineering leaders, with a sponsorship slot.","Sponsorship only, and slots sell out well in advance. Editorial is written by one author and does not take submissions.",2026-08-08
md-the-rundown-ai,The Rundown AI,https://www.therundown.ai,united-states,global,ai-media; newsletter-platform,ai,en,sponsored-content,paid,P1,active,,,,https://www.therundown.ai/,,,yes,,,,,,49,Limited,unknown,,"One of the largest daily AI newsletters, selling advertising placements to reach an AI-practitioner audience.","Sponsorship only — this is paid placement, not editorial coverage. No open editorial submission route was established.",2026-08-08
md-uc-today,UC Today,https://www.uctoday.com,united-kingdom,global,telecom-media,saas; telecom,en,editorial-submission; press-release,free,P1,active,https://www.uctoday.com/contact-us/,,,,,,,,,,,,90,Exceptional,staff-editorial,telecom-voip-ucaas; b2b-saas; startup,"The reference publication for unified communications, UCaaS, cloud telephony and business phone systems, with a contact page carrying news and submission routes.",Enterprise communications vendors and channel. The most direct fit in this database for a business-telephony product.,2026-08-08
md-utility-dive,Utility Dive,https://www.utilitydive.com,united-states,national,energy-cleantech-media,energy,en,editorial-pitch; editorial-submission; press-release,free,P1,active,https://www.utilitydive.com/submit-tip/,,,,,,,,,,,,89,Exceptional,staff-editorial,energy-cleantech; professional-services,"US electric and gas utility industry news, read by utility executives and regulators. Its about page carries both a press-release address and a story-tip route.","Utilities and grid, not general energy. The release route and the tip route are different asks.",2026-08-14
md-wamda,Wamda,https://www.wamda.com,united-arab-emirates,regional,startup-media,fintech; saas,ar; en,contributed-article; editorial-pitch,free,P1,active,https://www.wamda.com/contact,,,,,yes,,,,,,,87,Strong,contributor-network,startup; b2b-saas; finance-fintech,"MENA entrepreneurship platform combining editorial with an investment arm, accepting pitches and contributed pieces.",MENA scope. Wamda Capital is a separate business from the publication; an investment approach is not a media pitch.,2026-08-08
md-yourstory,YourStory,https://yourstory.com,india,national,startup-media,fintech; saas,en,editorial-pitch,free,P1,active,,https://yourstory.com/contact-us,,,,yes,,,,,,,86,Strong,staff-editorial,startup; b2b-saas; finance-fintech,"India’s largest startup and entrepreneurship publication, with a contact page inviting story pitches.",Indian companies and founders. Volume of pitches is very high.,2026-08-08
md-deutsche-startups,deutsche-startups.de,https://www.deutsche-startups.de,germany,national,startup-media,fintech; saas,de,editorial-pitch,free,P1,active,,https://www.deutsche-startups.de/kontakt/,,,,yes,,,,,,,86,Strong,staff-editorial,startup; b2b-saas; finance-fintech,"German startup, venture capital and funding news, with a contact page inviting tips to the editorial desk.",German market and German-language pitches.,2026-08-07
md-e27,e27,https://e27.co,singapore,regional,startup-media,fintech; saas,en,contributed-article; press-release; sponsored-content,mixed,P1,active,https://e27.co/contact-us/,,,,,yes,yes,,,,,,85,Strong,contributor-network,startup; b2b-saas; finance-fintech,"The main Southeast Asian startup publication, with a contact page naming a contributor route and a press-release route.",Southeast Asian companies and founders. The contributor route is editorial; sponsored placement is a separate paid product.,2026-08-08
md-itnews-australia,iTnews,https://www.itnews.com.au,australia,national,technology-media,cloud; cybersecurity; software,en,award-entry; sponsored-content,mixed,P1,active,,,,https://www.itnews.com.au/page/advertising,,yes,yes,,,,,,64,Moderate,marketplace,,"Australian enterprise technology publication for CIOs and IT leaders, with a partner-content programme and the Benchmark Security Awards.","Two distinct routes: paid partner content bought through the advertising desk, and the Benchmark Security Awards, which are judged and entered separately. Neither is a route into staff news coverage, and award entry windows are seasonal.",2026-08-14
md-pv-magazine,pv magazine,https://www.pv-magazine.com,germany,global,energy-cleantech-media,energy,de; en,editorial-submission; press-release; sponsored-content,mixed,P1,active,https://www.pv-magazine.com/info/contact-us/,,,https://www.pv-magazine.com/info/advertising-contacts/,,,yes,,,,,,87,Strong,staff-editorial,energy-cleantech,"The reference international solar photovoltaic trade publication, publishing in English and German with regional editions.","Solar PV and storage only. The regional editions share one editorial organisation, so this is one submission and not one per country.",2026-08-08
md-t3n,t3n,https://t3n.de,germany,national,startup-media; technology-media,ai; marketing; saas,de,editorial-pitch,free,P1,active,,,,,,yes,,,,,,,79,Strong,staff-editorial,startup; b2b-saas; ai-startup,"The leading German digital-business magazine, with a contact page naming the editorial desk.",German-language pitches. The editorial desk and the advertising department are separate routes.,2026-08-07
md-kyodo-pr-wire,共同通信PRワイヤー,https://kyodonewsprwire.jp,japan,national,press-release-distribution,general,ja,press-release,paid,P1,active,,,,,,,,,,,,,46,Limited,wire-carrier,,"Kyodo News PR Wire, the release distribution arm of Japan’s national news agency, reaching Japanese newsrooms directly.",Japanese-language releases and a paid contract. Agency distribution reaches newsrooms; it does not commission coverage.,2026-08-08
md-nikkei,日本経済新聞,https://www.nikkei.com,japan,national,global-business-media,finance; general,ja,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,Japan’s principal business and financial daily.,"No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 3.",2026-08-08
md-huxiu,虎嗅网,https://www.huxiu.com,china,national,global-business-media; technology-media,general; saas,zh,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"Chinese business and technology commentary publication, widely read by founders and investors.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 3.",2026-08-08
