rank,id,name,website,platform_type,pricing,availability,submission_url,follow_evidence,evidence_url,listing_indexability,domain_rating,opportunity_score,last_verified,limitations
26,plp-launchingnext,Launchingnext,https://www.launchingnext.com,launch-board,freemium,live,https://www.launchingnext.com/submit/,source-claimed-follow,,unknown,54,69,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
27,plp-mossai,MossAI,https://mossai.org,ai-software-directory,free,live,https://mossai.org/submit,source-claimed-follow,,unknown,76,68,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
28,plp-foundrlist,Foundrlist,https://www.foundrlist.com,startup-directory,freemium,live,https://www.foundrlist.com/submit,source-claimed-follow,,unknown,72,67,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
29,plp-startup-fast,Startup Fast,https://startupfa.st,startup-directory,freemium,live,https://www.startupfa.st/submit,source-claimed-follow,,unknown,72,67,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
30,plp-tiny-startups,Tiny Startups,https://www.tinystartups.com,startup-directory,freemium,live,https://www.tinystartups.com/submit,source-claimed-follow,,unknown,71,67,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
31,plp-futuretools,FutureTools,https://futuretools.io,ai-software-directory,free,live,https://futuretools.io/submit-a-tool,source-claimed-follow,,unknown,69,67,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
32,plp-pitchwall,PitchWall,https://pitchwall.co,startup-directory,freemium,live,https://pitchwall.co/submit,source-claimed-follow,,unknown,68,67,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
33,plp-sourceforge,SourceForge,https://sourceforge.net,developer-community,free,live,https://sourceforge.net/software/vendors/new,source-claimed-follow,,unknown,92,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
34,plp-12tools,12Tools,https://twelve.tools,ai-software-directory,freemium,live,https://twelve.tools/submit,source-claimed-follow,,unknown,82,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
35,plp-dang-ai,Dang AI,https://dang.ai,ai-software-directory,freemium,live,https://dang.ai/login?next=%2Fpricing,source-claimed-follow,,unknown,82,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
36,plp-turbo0,Turbo0,https://turbo0.com,product-directory,free,live,https://turbo0.com/submit,source-claimed-follow,,unknown,80,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
37,plp-toolpilot,Toolpilot,https://toolpilot.ai,ai-software-directory,freemium,live,https://www.toolpilot.ai/pages/submit-your-ai-tool,source-claimed-follow,,unknown,78,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
38,plp-digitalagencynetwork,DigitalAgencynetwork,https://digitalagencynetwork.com/marketplace,product-directory,free,live,https://digitalagencynetwork.com/submit-event/,source-claimed-follow,,unknown,76,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
39,plp-show-me-best-ai,Show Me Best AI,https://showmebest.ai,ai-software-directory,freemium,live,https://showmebest.ai/submit,source-claimed-follow,,unknown,76,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
40,plp-alternative-me,Alternative.Me,https://alternative.me,product-directory,free,live,https://alternative.me/how-to/submit-software/,source-claimed-follow,,unknown,75,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
41,plp-submitaitools,SubmitAiTools,https://submitaitools.org,ai-software-directory,freemium,live,https://submitaitools.org/,source-claimed-follow,,unknown,75,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
42,plp-toolfame,ToolFame,https://toolfame.com,ai-software-directory,freemium,live,https://toolfame.com/submit,source-claimed-follow,,unknown,75,66,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
43,plp-ai-agents-directory,AI Agents Directory,https://aiagentsdirectory.com,ai-software-directory,freemium,live,https://aiagentsdirectory.com/submit-agent,source-claimed-follow,,unknown,74,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
44,plp-n49,n49,https://www.n49.com,product-directory,free,live,https://www.n49.com/pricing,source-claimed-follow,,unknown,74,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
45,plp-dofollow-tools,Dofollow.Tools,https://dofollow.tools,ai-software-directory,freemium,live,https://dofollow.tools/submit,source-claimed-follow,,unknown,73,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
46,plp-newtool-site,NewTool.site,https://newtool.site,ai-software-directory,freemium,live,https://newtool.site/submit,source-claimed-follow,,unknown,68,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
47,plp-acidtools-com,acidtools.com,https://acidtools.com,ai-software-directory,freemium,live,https://submitsaas.com/,source-claimed-follow,,unknown,67,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
48,plp-aitools-inc,AiTools.inc,https://aitools.inc,ai-software-directory,freemium,live,https://aitools.inc/submit,source-claimed-follow,,unknown,67,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
49,plp-startups-lab,Startups Lab,https://startupslab.site,startup-directory,freemium,live,https://startupslab.site/submit-product,source-claimed-follow,,unknown,54,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
50,plp-startups-fm,Startups.fm,https://startups.fm,startup-directory,freemium,live,https://startups.fm/submit,source-claimed-follow,,unknown,49,65,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
51,plp-wired-business,Wired Business,https://wired.business,product-directory,freemium,live,https://wired.business/submit,source-claimed-follow,,unknown,77,64,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
52,plp-toolfio,ToolFio,https://toolfio.com,ai-software-directory,freemium,live,https://toolfio.com/submit,source-claimed-follow,,unknown,63,64,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
53,plp-starter-best,Starter Best,https://starterbest.com,product-directory,free,live,https://starterbest.com/submit,source-claimed-follow,,unknown,62,64,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
54,plp-whatsyourhours,Whatsyourhours,https://www.whatsyourhours.com,product-directory,free,live,https://www.whatsyourhours.com/join,source-claimed-follow,,unknown,61,64,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
55,plp-peerpush-2,PeerPush,https://peerpush.net,product-directory,freemium,live,https://peerpush.com/submit?option=sponsored,source-claimed-follow,,unknown,73,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
56,plp-saasfame,SaaSFame,https://saasfame.com,product-directory,freemium,live,https://saasfame.com/submit,source-claimed-follow,,unknown,70,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
57,plp-similarlabs,Similarlabs,https://similarlabs.com,product-directory,freemium,live,https://similarlabs.com/submit,source-claimed-follow,,unknown,68,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
58,plp-ufind-best,Ufind.best,https://ufind.best,product-directory,freemium,live,https://ufind.best/products/create,source-claimed-follow,,unknown,66,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
59,plp-devhunt,Devhunt,https://devhunt.org,launch-board,free,live,,source-claimed-follow,,unknown,63,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
60,plp-trylaunch-ai,TryLaunch.ai,https://trylaunch.ai,launch-board,free,live,,source-claimed-follow,,unknown,55,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
61,plp-ai-top-tools,AI Top Tools,https://aitoptools.com,ai-software-directory,freemium,live,https://aitoptools.com/claim-your-tool/,source-claimed-follow,,unknown,54,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
62,plp-agentwork-tools,AgentWork.Tools,https://agentwork.tools,ai-software-directory,freemium,live,https://agentwork.tools/submit,source-claimed-follow,,unknown,48,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
63,plp-aibloggenerators,AIBloggenerators,https://aibloggenerators.com,ai-software-directory,free,live,https://aibloggenerators.com/#header-29-361811,source-claimed-follow,,unknown,29,63,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
64,plp-crunchbase,Crunchbase,https://www.crunchbase.com,startup-directory,free,live,,source-claimed-follow,,unknown,91,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
65,plp-webcatalog,Webcatalog,https://webcatalog.io/en,software-review,free,live,https://webcatalog.io/en/developers/app-listing,source-claimed-follow,,unknown,60,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
66,plp-marketingdb,MarketingDB,https://marketingdb.live,product-directory,freemium,live,https://marketingdb.live/submit,source-claimed-follow,,unknown,59,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
67,plp-saascity,SaaSCity,https://saascity.io,product-directory,freemium,live,https://saascity.io/saascity?submit=1,source-claimed-follow,,unknown,58,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
68,plp-saasgrow,SaaSGrow,https://saasgrow.app,product-directory,freemium,live,https://saasgrow.app/login?callbackUrl=/submit,source-claimed-follow,,unknown,57,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
69,plp-wayfindio,wayfindio,https://wayfindio.com,product-directory,freemium,live,https://wayfindio.com/submit,source-claimed-follow,,unknown,55,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
70,plp-launch-list,Launch-list,https://www.launch-list.org,launch-board,free,live,,source-claimed-follow,,unknown,52,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
71,plp-anyfp,AnyFP,https://anyfp.com,ai-software-directory,free,live,https://anyfp.com/submit,source-claimed-follow,,unknown,21,62,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
72,plp-f6s,F6S,https://www.f6s.com,startup-directory,free,live,,source-claimed-follow,,unknown,83,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
73,plp-there-s-an-ai-for-that,There's An AI For That,https://theresanaiforthat.com,ai-software-directory,paid,live,https://theresanaiforthat.com/$%7BappUrl(,source-claimed-follow,,unknown,77,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
74,plp-tinylaunch,TinyLaunch,https://tinylaun.ch,launch-board,freemium,live,,source-claimed-follow,,unknown,58,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
75,plp-daily-pings,Daily Pings,https://dailypings.com,product-directory,freemium,live,https://dailypings.com/submit,source-claimed-follow,,unknown,54,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
76,plp-open-alternative,Open Alternative,https://openalternative.co,product-directory,freemium,live,https://openalternative.co/submit,source-claimed-follow,,unknown,52,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
77,plp-business-software-com,Business-Software.com,https://www.business-software.com,software-review,free,live,https://www.business-software.com/add-your-product/,source-claimed-follow,,unknown,51,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
78,plp-osssoftware,Osssoftware,https://osssoftware.org,product-directory,free,live,https://osssoftware.org/#other-01-716581,source-claimed-follow,,unknown,33,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
79,plp-all-low-code-platforms,All Low Code Platforms,https://lowcodeplatforms.org,product-directory,free,live,https://lowcodeplatforms.org/#header-29-755201,source-claimed-follow,,unknown,32,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
80,plp-nextjsstarter,Nextjsstarter,https://nextjsstarter.com,product-directory,free,live,https://nextjsstarter.com/#other-01-329471,source-claimed-follow,,unknown,32,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
81,plp-topwebsitebuilders,TopWebsiteBuilders,https://topwebsitebuilders.org,product-directory,free,live,https://topwebsitebuilders.org/#other-01-623611,source-claimed-follow,,unknown,25,61,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
82,plp-aitools-neilpatel,Aitools.Neilpatel,https://aitools.neilpatel.com,ai-software-directory,free,live,,source-claimed-follow,,unknown,91,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
83,plp-futurepedia,Futurepedia,https://www.futurepedia.io,ai-software-directory,paid,live,https://www.futurepedia.io/submit-tool,source-claimed-follow,,unknown,72,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
84,plp-sideprojectors,SideProjectors,https://www.sideprojectors.com,startup-directory,free,live,,source-claimed-follow,,unknown,70,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
85,plp-opentools,OpenTools,https://opentools.ai,ai-software-directory,paid,live,https://opentools.ai/friends/launch-tool,source-claimed-follow,,unknown,69,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
86,plp-startupxplore,Startupxplore,https://startupxplore.com,startup-directory,free,live,,source-claimed-follow,,unknown,66,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
87,plp-startuptrusted,StartupTrusted,https://startuptrusted.com,startup-directory,paid,live,https://startuptrusted.com/submit,source-claimed-follow,,unknown,54,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
88,plp-endors,Endors,https://endors.me,product-directory,free,live,https://endors.me/for-founders?utm_source=landing&amp;utm_medium=hero_searchrow&amp;utm_campaign=founder_cta,source-claimed-follow,,unknown,23,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
89,plp-simplifyaitools,SimplifyAiTools,https://simplifyaitools.com,ai-software-directory,freemium,live,https://simplifyaitools.com/submit-tool/,source-claimed-follow,,unknown,22,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
90,plp-coolpot,Coolpot,https://coolpot.com,product-directory,free,live,https://coolpot.com/story/submit,source-claimed-follow,,unknown,20,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
91,plp-all-top-ai-tools,All Top AI Tools,https://aitoolfor.org,ai-software-directory,freemium,live,https://aitoolfor.org/#other-01-638181,source-claimed-follow,,unknown,19,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
92,plp-thehackstack,Thehackstack,https://thehackstack.com,product-directory,free,live,https://thehackstack.com/add-product,source-claimed-follow,,unknown,17,60,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
93,plp-linkcentre,Linkcentre,https://linkcentre.com,business-directory,free,live,https://www.linkcentre.com/addurl/,source-claimed-follow,,unknown,72,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
94,plp-toolsfine,toolsfine,https://toolsfine.com,ai-software-directory,paid,live,https://toolsfine.com/submit-ai-tools-or-product,source-claimed-follow,,unknown,64,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
95,plp-startupranking,StartupRanking,https://www.startupranking.com,startup-directory,free,live,,source-claimed-follow,,unknown,62,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
96,plp-aiwithme,AIWithMe,https://aiwith.me,ai-software-directory,paid,live,https://aiwith.me/submit/,source-claimed-follow,,unknown,58,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
97,plp-aipure,AIPURE,https://aipure.ai,ai-software-directory,paid,live,https://aipure.ai/submit,source-claimed-follow,,unknown,57,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
98,plp-aixploria,AIxploria,https://www.aixploria.com/en,ai-software-directory,paid,live,https://www.aixploria.com/en/add-ai/,source-claimed-follow,,unknown,57,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
